municipio,fecha,luces_nocturnas,densid_vial,imae,interaccion_causal,area_km2,imae_primario,imae_secundario,imae_terciario,poblacion_estimada,categoria
Municipio Yalagüina,2023-04-01,0.488025933504105,0.9063200505754851,170.060165919156,154.12893817672486,71.40755290770491,218.4711834393088,165.75984141103257,159.6665729201445,13360.908203125,Estrato Alto
Municipio Yalagüina,2023-05-01,0.438285857439041,0.9063200505754851,171.680809136914,155.5977596198081,71.40755290770491,217.5334376373774,168.29644046851524,160.8644445293731,13360.908203125,Estrato Alto
Municipio Yalagüina,2023-06-01,0.269195824861526,0.9063200505754851,173.364220125361,157.1234687519967,71.40755290770491,217.15813625994937,170.59369846359746,162.16791937884608,13360.908203125,Estrato Alto
Municipio Yalagüina,2023-07-01,0.635354995727539,0.9063200505754851,174.776743845326,158.40366732131446,71.40755290770491,217.7419498926668,172.2042317008486,163.46792835991357,13360.908203125,Estrato Alto
Municipio Yalagüina,2023-08-01,0.481076419353485,0.9063200505754851,175.711766417268,159.25109702600616,71.40755290770491,218.8221302967654,172.8737025100696,164.60526506527637,13360.908203125,Estrato Alto
Municipio Yalagüina,2023-09-01,0.616940975189209,0.9063200505754851,176.151454501248,159.64959515251635,71.40755290770491,219.8997418901608,172.81514612657688,165.44713174986506,13360.908203125,Estrato Alto
Municipio Yalagüina,2023-10-01,0.463516563177109,0.9063200505754851,176.289719950539,159.7749079015106,71.40755290770491,221.1303363272824,172.53900373061978,166.0152073544878,13360.908203125,Estrato Alto
Municipio Yalagüina,2023-11-01,0.424957185983658,0.9063200505754851,176.338817142036,159.8194056705913,71.40755290770491,222.3682359693752,172.48396991207642,166.39875657429832,13360.908203125,Estrato Alto
Municipio Yalagüina,2023-12-01,0.298738062381744,0.9063200505754851,176.509762121669,159.9743365331779,71.40755290770491,223.23637158710065,172.6985387719171,166.6631140096575,13360.908203125,Estrato Alto
Municipio Yalagüina,2024-01-01,0.225909218192101,0.9063200505754851,176.808356695562,160.24495878249016,71.40755290770491,223.3432101928554,173.14797379716194,166.92997873020263,13360.908203125,Estrato Alto
